ElastomerID,PITTagID,FinalID,OldNew,Date,Stream,Reach,SurNum,Primary,Species,Sex,RawLongLoc,CorrLongLoc,Stage,Meso,LatLoc,SubSize,SubType,Metamorph,TailRemoved,TailRegrown,FieldSVL,PhotoSVL,MassMg,HeadLength,HeadWidth,TrunkLength,TrunkWidth,HumerousLength,FemurLength,TailWidth,TailHeight,Photo,Photo2,Photo3,Tissue,Diet,CORT,Notes,Remove,Reason,Action,Last3Digits
GBB1-3-4,NA,GBB1-3-4,N,7/17/2013,Bear,Lower,12,4,GP,NA,453,453,L,RF,WE,450,R,N,0,0,NA,46.53,2300,11.93,9.3,28.81,7.99,2.33,2.34,NA,NA,104-714-716,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
GBB1-3-5,NA,GBB1-3-5,N,7/17/2013,Bear,Lower,12,4,GP,NA,469,469,L,PL,WE,450,R,N,0,0,NA,62.78,5500,14.35,9.92,40.98,11.05,3.11,2.81,NA,NA,104-717-718,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
GBB1-3-6,NA,GBB1-3-6,N,7/17/2013,Bear,Lower,12,4,GP,NA,469,469,A,PL,WE,400,R,N,0,0,NA,76.91,8800,19.04,12.12,48.51,12.68,4.32,3.02,NA,NA,104-719,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
GBB1-3-7,NA,GBB1-3-7,N,7/17/2013,Bear,Lower,12,4,GP,NA,488,488,L,PL,WE,220,R,N,0,0,NA,40.15,1400,10.94,7.47,24.56,6.9,2.15,2.28,NA,NA,104-723-724,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
GBB1-3-8,NA,GBB1-3-8,N,8/1/2013,Bear,Lower,13,5,GP,NA,111,111,L,RF,WE,350,R,N,0,0,NA,71.79,7000,16.74,11.26,45.3,12.19,3.49,2.77,NA,NA,105-010-012,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
GBB1-3O2,NA,GBB1-3O2,N,6/27/2015,Bear,Upper,29,10,GP,NA,138,1038,L,RF,WE,250,R,N,0,0,NA,58.14,4300,14.27,11.07,39.96,9.75,4.08,2.98,NA,NA,(106)139-140,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
GBB1-3O2,NA,GBB1-3O2,O,8/15/2015,Bear,Upper,35,12,GP,NA,137,1037,L,RF,T,450,R,N,5,3,NA,55.34,4200,13.73,10.61,38.11,9.3,3.96,3.25,NA,NA,(108)687-688,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
GBB1-3O4,NA,GBB1-3O4,N,6/27/2015,Bear,Upper,29,10,GP,NA,142,1042,L,RF,T,350,R,N,0,0,NA,36.64,1200,9.16,7.08,25.11,5.83,2.78,1.94,NA,NA,(106)141,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
GBB1-3O5,NA,GBB1-3O5,N,6/27/2015,Bear,Upper,29,10,GP,NA,210,1110,A,RF,WE,250,R,N,0,0,NA,83.16,10000,22.82,13.4,55.46,13.37,5.67,5.16,NA,NA,(106)144-145,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
GBB1-3O6,NA,GBB1-3O6,N,6/27/2015,Bear,Upper,29,10,GP,NA,244,1144,L,PL,T,300,R,N,10,2,NA,55.78,4000,14.98,10.02,38.47,9.81,3.96,3.85,NA,NA,(106)146-147,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
GBB1-3O7,NA,GBB1-3O7,N,6/27/2015,Bear,Upper,29,10,GP,NA,274,1174,L,RF,WE,250,R,N,0,0,NA,63,5800,15.48,11.78,40.64,11.47,3.64,3.75,NA,NA,(106)148-149,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
GBB1-3O8,NA,GBB1-3O8,N,6/27/2015,Bear,Upper,29,10,GP,F,384,1284,A,PL,WE,400,R,N,0,0,NA,89.63,13250,23.21,14.56,59.93,14.64,6.63,5.28,NA,NA,(106)156,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
GBB1-4,NA,GBB1-4,N,7/13/2013,Bear,Lower,11,4,GP,NA,73,73,L,RF,T,450,R,N,0,0,NA,47.64,2000,12.24,9.35,29.18,8.36,2.92,3.15,NA,NA,104-438-439,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
GBB1-4,NA,GBB1-4,O,7/22/2014,Bear,Lower,24,8,GP,NA,70,70,L,RF,T,400,R,N,0,0,NA,57.48,5500,13.98,10.91,33.94,11.18,3.37,3.15,NA,NA,107-133-134,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
GBB1-4-5,NA,GBB1-4-5,N,8/1/2013,Bear,Lower,13,5,GP,NA,118,118,A,PL,WE,650,R,N,0,0,NA,103.35,19750,25.39,15.8,65.73,16.21,5.16,NA,NA,NA,105-013-014,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
